   n, bubble_cmp, bubble_swaps, bubble_time, insertion_cmp, insertion_swaps, insertion_time, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
 456,           ,             ,            ,         51056,           50606,          86766,     6651,       3616,      6991,      6637,        1271,      18941
 457,           ,             ,            ,         51376,           50925,          87765,     6664,       3641,      6981,      6965,        1287,      17951
 458,           ,             ,            ,         51488,           51036,          87764,     6705,       3646,      5984,      6972,        1265,      18952
 459,           ,             ,            ,         51930,           51477,          88761,     6689,       3638,      6981,      7050,        1286,      17951
 460,           ,             ,            ,         52211,           51757,          87765,     6729,       3659,      5983,      7254,        1282,      19947
 461,           ,             ,            ,         52312,           51857,          90781,     6752,       3679,      6977,      6547,        1298,      18928
 462,           ,             ,            ,         52337,           51881,          89759,     6762,       3680,      7012,      6830,        1288,      18942
 463,           ,             ,            ,         52799,           52343,          90734,     6796,       3710,      5984,      7272,        1302,      18928
 464,           ,             ,            ,         53153,           52696,          90756,     6795,       3717,      5983,      6949,        1328,      19948
 465,           ,             ,            ,         53192,           52734,          90772,     6827,       3720,      6963,      6823,        1319,      19947
 466,           ,             ,            ,         53218,           52759,          90756,     6842,       3727,      5983,      6904,        1327,      18947
 467,           ,             ,            ,         53227,           52767,          91754,     6852,       3721,      6988,      6947,        1331,      19940
 468,           ,             ,            ,         53438,           52977,          92752,     6866,       3745,      6981,      6641,        1299,      19955
 469,           ,             ,            ,         53485,           53023,          90745,     6892,       3761,      6982,      6995,        1311,      20944
 470,           ,             ,            ,         53747,           53284,          91771,     6913,       3762,      5949,      7013,        1302,      18949
 471,           ,             ,            ,         54169,           53705,          91753,     6923,       3762,      6981,      7344,        1302,      19946
 472,           ,             ,            ,         54200,           53735,          92751,     6948,       3781,      5984,      7110,        1335,      19944
 473,           ,             ,            ,         54556,           54090,          94747,     6954,       3782,      6980,      7026,        1315,      18950
 474,           ,             ,            ,         54867,           54400,          93748,     6957,       3795,      6982,      6960,        1352,      19946
 475,           ,             ,            ,         55113,           54645,          93749,     7007,       3799,      6980,      7039,        1327,      19947
 476,           ,             ,            ,         55459,           54990,          94745,     7025,       3811,      5984,      7186,        1313,      19946
 477,           ,             ,            ,         55930,           55460,          95743,     7019,       3815,      6014,      7309,        1339,      19953
 478,           ,             ,            ,         55935,           55464,          95719,     7015,       3805,      8001,      7275,        1324,      20934
 479,           ,             ,            ,         56222,           55750,          95731,     7075,       3849,      5984,      6751,        1371,      19923
 480,           ,             ,            ,         56383,           55910,          96740,     7075,       3844,      6982,      6891,        1375,      20944
 481,           ,             ,            ,         56832,           56358,          97738,     7094,       3866,      6980,      7310,        1327,      20944
 482,           ,             ,            ,         57118,           56643,          97739,     7122,       3875,      6981,      6989,        1374,      20943
