    n, bubble_cmp, bubble_swaps, bubble_time, insertion_cmp, insertion_swaps, insertion_time, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
  200,      19900,        10997,       23971,         11188,           10997,          18914,     2424,       1333,      1994,      2529,         505,       3990
  201,      20100,        11103,       24943,         11295,           11103,          17971,     2449,       1353,      1976,      2636,         521,       3989
  202,      20301,        11300,       25938,         11493,           11300,          18975,     2456,       1350,      1960,      2679,         527,       4992
  203,      20503,        11476,       25925,         11670,           11476,          19949,     2470,       1362,      1992,      2528,         515,       4987
  204,      20706,        11578,       25929,         11773,           11578,          18974,     2490,       1372,      2965,      2550,         521,       4987
  205,      20910,        11657,       24933,         11853,           11657,          20944,     2513,       1393,      1995,      2582,         528,       4985
  206,      21115,        11841,       25929,         12038,           11841,          20962,     2527,       1387,      1978,      2643,         540,       4986
  207,      21321,        12042,       26928,         12240,           12042,          19945,     2551,       1404,      1994,      2640,         537,       4022
  208,      21528,        12232,       27919,         12431,           12232,          20917,     2553,       1406,      1994,      2669,         531,       4986
  209,      21736,        12416,       26927,         12616,           12416,          21940,     2571,       1412,      1994,      2778,         533,       4988
  210,      21945,        12428,       26927,         12629,           12428,          20950,     2594,       1428,      2986,      2692,         546,       4985
  211,      22155,        12609,       27947,         12811,           12609,          20921,     2609,       1433,      2992,      2670,         537,       4985
  212,      22366,        12783,       27926,         12986,           12783,          21953,     2628,       1447,      1987,      2805,         547,       4986
  213,      22578,        12881,       27965,         13085,           12881,          21900,     2634,       1449,      2992,      2745,         549,       4986
  214,      22791,        13094,       28921,         13298,           13094,          24933,     2660,       1466,      2991,      2949,         550,       5985
  215,      23005,        13274,       29921,         13479,           13274,          24932,     2682,       1480,      2991,      2709,         558,       5984
  216,      23220,        13295,       30918,         13501,           13295,          23936,     2690,       1487,      1992,      2738,         556,       4986
  217,      23436,        13313,       31916,         13520,           13313,          22937,     2699,       1483,      1994,      2762,         561,       5983
  218,      23653,        13450,       29919,         13658,           13450,          24933,     2705,       1486,      3990,      2928,         562,       5984
  219,      23871,        13619,       30920,         13828,           13619,          23931,     2719,       1497,      2992,      2715,         559,       5025
  220,      24090,        13769,       31876,         13979,           13769,          25928,     2743,       1505,      2993,      2768,         567,       4996
  221,      24310,        13785,       29921,         13996,           13785,          22937,     2758,       1517,      2992,      2729,         570,       4986
  222,      24531,        13974,       30883,         14186,           13974,          23936,     2779,       1534,      2999,      2953,         573,       5976
  223,      24753,        14118,       30944,         14331,           14118,          23909,     2787,       1532,      2991,      2877,         589,       5016
  224,      24976,        14236,       30886,         14450,           14236,          24935,     2801,       1542,      2991,      2999,         582,       5984
  225,      25200,        14341,       31915,         14556,           14341,          24933,     2802,       1537,      2990,      3107,         583,       6981
  226,      25425,        14363,       34906,         14579,           14363,          25930,     2830,       1551,      2991,      2994,         581,       6990
  227,      25651,        14470,       32943,         14687,           14470,          24920,     2840,       1570,      2965,      3041,         587,       5984
  228,      25878,        14657,       31914,         14875,           14657,          24932,     2857,       1577,      2992,      3126,         569,       5999
  229,      26106,        14877,       32896,         15096,           14877,          25931,     2881,       1593,      2992,      3107,         602,       4985
  230,      26335,        14886,       40890,         15106,           14886,          26928,     2899,       1594,      2993,      3158,         595,       5981
  231,      26565,        14985,       36920,         15206,           14985,          24949,     2926,       1609,      1995,      3058,         620,       6980
  232,      26796,        15059,       32911,         15281,           15059,          25969,     2928,       1619,      2953,      3048,         595,       5984
  233,      27028,        15112,       34905,         15335,           15112,          24890,     2927,       1610,      1994,      3144,         606,       6981
  234,      27261,        15219,       42885,         15443,           15219,         128656,     2968,       1639,      4986,      2991,         606,       9974
  235,      27495,        15306,       35901,              ,                ,               ,     2967,       1628,      2992,      2952,         604,       6980
  236,      27730,        15346,       33941,              ,                ,               ,     2994,       1646,      2962,      3256,         614,       6980
  237,      27966,        15533,       34906,              ,                ,               ,     2998,       1649,      2991,      3082,         620,       7019
  238,      28203,        15583,       37860,              ,                ,               ,     3011,       1655,      2992,      3080,         623,       5984
  239,      28441,        15821,       39891,              ,                ,               ,     3038,       1673,      2992,      3351,         622,       7980
  240,      28680,        15991,       37897,              ,                ,               ,     3037,       1667,      2996,      3027,         620,       6978
  241,      28920,        16210,       37898,              ,                ,               ,     3076,       1690,      2992,      3105,         633,       5983
  242,      29161,        16297,       36899,              ,                ,               ,     3079,       1691,      1971,      3249,         642,       5984
  243,      29403,        16383,       36901,              ,                ,               ,     3095,       1703,      1992,      3252,         647,       5990
  244,      29646,        16492,       38868,              ,                ,               ,     3110,       1708,      2991,      3270,         645,       6983
  245,      29890,        16574,       37899,              ,                ,               ,     3123,       1718,      2992,      3277,         648,       6980
